"NR_all_97662.1","9LUV|1|D","9LUV|1|D,9LUV|1|C"
"NR_all_84118.2","9G25|1|4+9G25|1|3","9G25|1|4+9G25|1|3,9G28|1|4+9G28|1|3"
"NR_all_97540.1","9NPY|1|i","9NPY|1|i"
"NR_all_81794.1","1AFX|1|A","1AFX|1|A"
"NR_all_35024.1","4PDQ|1|A+4PDQ|1|B","4PDQ|1|A+4PDQ|1|B"
"NR_all_80456.2","9G30|1|AT","9G30|1|AT,9G30|1|PT"
"NR_all_85511.1","9ZNG|1|1","9ZNG|1|1,9ZNF|1|1,9NTA|1|BA,9ZNI|1|1,9NRI|1|BA,9O17|1|BA,9OU7|1|BA,9OU7|1|CA"
"NR_all_52254.1","1AJL|1|A+1AJL|1|B","1AJL|1|A+1AJL|1|B"
"NR_all_48588.1","9G44|1|J+9G44|1|K+9G44|1|L","9G44|1|J+9G44|1|K+9G44|1|L"
"NR_all_66975.1","1AJU|10|A","1AJU|10|A"
"NR_all_97444.2","9G4Q|1|A","9G4Q|1|A,9G4Q|1|B"
"NR_all_07975.1","1AL5|1|A+1AL5|1|B","1AL5|1|A+1AL5|1|B"
"NR_all_18570.2","5K77|1|X","5K77|1|X,5K77|1|V,5K77|1|Y,5K77|1|Z,5K77|1|W,4PEI|1|V,4PEI|1|X,4PEI|1|W,4PEI|1|Z,4PEI|1|Y"
"NR_all_43057.1","9G4R|1|A","9G4R|1|A"
"NR_all_52900.1","1ANR|2|A","1ANR|2|A"
"NR_all_53789.2","9I05|1|Ra","9I05|1|Ra,9G6K|1|l1"
"NR_all_88518.1","9ZNG|1|2","9ZNG|1|2,9ZNF|1|2,9NTA|1|BB,9ZNI|1|2,9O17|1|BB,9NRI|1|BB,9OU7|1|CB,9OU7|1|BB"
"NR_all_48198.1","9G6K|1|l2","9G6K|1|l2"
"NR_all_33644.1","9G6K|1|l8","9G6K|1|l8"
"NR_all_50419.1","9G6K|1|lB","9G6K|1|lB"
"NR_all_02574.1","4PHY|1|A+4PHY|1|B","4PHY|1|A+4PHY|1|B"
"NR_all_26543.1","9G6K|1|lE","9G6K|1|lE"
"NR_all_47517.1","9NVU|1|W+9NVU|1|T+9NVU|1|N","9NVU|1|W+9NVU|1|T+9NVU|1|N"
"NR_all_38740.1","9NYY|1|D","9NYY|1|D"
"NR_all_37008.3","4PLX|1|A","4PLX|1|A,4PLX|1|B,4PLX|1|C"
"NR_all_68878.1","9OD4|1|A","9OD4|1|A"
"NR_all_13685.3","4PMW|1|D","4PMW|1|D,4PMW|1|C"
"NR_all_39717.1","9OGY|1|A","9OGY|1|A"
"NR_all_76193.2","4PQU|1|T+4PQU|1|P","4PQU|1|T+4PQU|1|P,4PQU|1|E+4PQU|1|F,4PUO|1|T+4PUO|1|P,4PUO|1|E+4PUO|1|F"
"NR_all_04164.1","9G6K|1|lO+9G6K|1|lJ+9G6K|1|lM+9G6K|1|l4+9G6K|1|l3+9G6K|1|l9","9G6K|1|lO+9G6K|1|lJ+9G6K|1|lM+9G6K|1|l4+9G6K|1|l3+9G6K|1|l9"
"NR_all_88555.1","9OKS|1|A","9OKS|1|A"
"NR_all_94313.1","9G6K|1|lQ","9G6K|1|lQ"
"NR_all_67900.1","9OKU|1|A","9OKU|1|A"
"NR_all_72021.1","4PQV|1|A","4PQV|1|A"
"NR_all_08851.1","9G6K|1|lS","9G6K|1|lS"
"NR_all_86871.1","9OKW|1|A","9OKW|1|A"
"NR_all_03404.2","4PWD|1|T+4PWD|1|P","4PWD|1|T+4PWD|1|P,4PWD|1|E+4PWD|1|F"
"NR_all_50087.1","9G6K|1|lU","9G6K|1|lU"
"NR_all_65515.1","9OKY|1|A+9OKY|1|B","9OKY|1|A+9OKY|1|B"
"NR_all_14882.1","4PY5|1|B+4PY5|1|C","4PY5|1|B+4PY5|1|C"
"NR_all_84731.1","9G6K|1|lW","9G6K|1|lW"
"NR_all_05720.1","9OKZ|1|C+9OKZ|1|D","9OKZ|1|C+9OKZ|1|D"
"NR_all_19645.3","4QI2|1|G","4QI2|1|G,4QI2|1|F,4QI2|1|E,4QI2|1|H"
"NR_all_51452.1","9G7C|5|A","9G7C|5|A"
"NR_all_98038.1","9OL0|1|A","9OL0|1|A"
"NR_all_33581.1","9OM4|1|K+9OM4|1|L","9OM4|1|K+9OM4|1|L,9OM4|1|C+9OM4|1|D,9OM4|1|G+9OM4|1|H,9OM4|1|O+9OM4|1|P"
"NR_all_13250.1","4QIK|1|C+4QIK|1|D","4QIK|1|C+4QIK|1|D"
"NR_all_84451.1","1ARJ|14|N","1ARJ|14|N"
"NR_all_89824.1","9OND|1|D","9OND|1|D"
"NR_all_71097.1","9OQB|1|C","9OQB|1|C"
"NR_all_57689.1","9OXE|1|E","9OXE|1|E"
"NR_all_68151.1","9P4J|1|I","9P4J|1|I,9P4J|1|J,9P4K|1|I,9P4J|1|K,9P4J|1|L,9P4K|1|L,9P4K|1|K,9P4K|1|J"
"NR_all_94866.4","6N5P|1|A","6N5P|1|A,6N5Q|1|A,6WTR|1|A,4QK8|1|A,6N5T|1|A,6N5K|1|A,4QKA|1|A,6N5N|1|A,6N5S|1|A,6N5O|1|A,6WTL|1|A"
"NR_all_58206.1","9GAQ|1|C","9GAQ|1|C"
"NR_all_64096.1","486D|1|E","486D|1|E"
"NR_all_29240.3","9GAT|1|M","9GAT|1|M,9GAS|1|C"
"NR_all_40807.3","9GAT|1|O","9GAT|1|O,9GAS|1|D,9GAT|1|P"
"NR_all_07425.1","1ATV|1|A","1ATV|1|A"
"NR_all_20296.2","9P6P|1|E","9P6P|1|E,9P6P|1|G"
"NR_all_15611.1","1AUD|27|B","1AUD|27|B"
"NR_all_12478.1","9P6Z|1|Zt","9P6Z|1|Zt,9P7O|1|Zt,9P7I|1|Zt,9P7X|1|Zt,9P7G|1|Zt,9P8I|1|Zt,9P7N|1|Zt,9P79|1|Zt"
"NR_all_34221.1","1B23|1|R","1B23|1|R"
"NR_all_53735.3","4QLM|1|A","4QLM|1|A,4QLN|1|A"
"NR_all_75344.3","4QM6|1|D","4QM6|1|D,4QM6|1|C"
"NR_all_07247.1","9GAT|1|N","9GAT|1|N"
"NR_all_18913.1","4QPX|1|P+4QPX|1|T","4QPX|1|P+4QPX|1|T"
"NR_all_90201.1","9P8H|1|AP","9P8H|1|AP"
"NR_all_78432.2","9GMS|1|E","9GMS|1|E,9GMT|1|E"
"NR_all_04583.1","9PJD|1|G","9PJD|1|G"
"NR_all_22602.3","4QU7|1|X","4QU7|1|X,4QU7|1|V,4QU7|1|U"
"NR_all_91183.1","9GMW|1|T","9GMW|1|T"
"NR_all_13259.1","9PQV|1|B","9PQV|1|B"
"NR_all_72921.1","9GS9|1|1+9GS9|1|2+9GS9|1|3","9GS9|1|1+9GS9|1|2+9GS9|1|3"
"NR_all_25884.1","9PRC|1|K","9PRC|1|K,9PRC|1|M,9PRC|1|J,9PRC|1|P"
"NR_all_78430.1","4QVD|1|H","4QVD|1|H"
"NR_all_10963.1","1B36|5|A","1B36|5|A"
"NR_all_18903.3","6CHR|1|A+6CHR|1|B","6CHR|1|A+6CHR|1|B,6CIH|1|A,4R0D|1|A"
"NR_all_80375.1","9PSA|1|B","9PSA|1|B"
"NR_all_09952.1","1B7F|1|Q","1B7F|1|Q"
"NR_all_19850.1","9PSC|1|B","9PSC|1|B"
"NR_all_82965.1","1BGZ|1|A","1BGZ|1|A"
"NR_all_33922.4","4R4V|1|A","4R4V|1|A,5V3I|1|A,4R4P|1|A"
"NR_all_68057.2","9H0L|1|Y","9H0L|1|Y,9GXX|1|Y"
"NR_all_93986.1","9PTJ|1|B","9PTJ|1|B"
"NR_all_62398.3","1BJ2|1|A+1BJ2|1|B","1BJ2|1|A+1BJ2|1|B,2BJ2|1|A+2BJ2|1|B"
"NR_all_10080.1","9GY4|1|G","9GY4|1|G"
"NR_all_11198.1","1BMV|1|M","1BMV|1|M"
"NR_all_13690.1","9YRN|1|K+9YRN|1|L","9YRN|1|K+9YRN|1|L,9YRN|1|E+9YRN|1|F,9Q1J|1|K+9Q1J|1|L,9Q1J|1|E+9Q1J|1|F,9YRO|1|E"
"NR_all_65656.1","1BVJ|14|A","1BVJ|14|A"
"NR_all_12687.1","4RBZ|1|A","4RBZ|1|A"
"NR_all_03029.1","9H4N|1|Bx","9H4N|1|Bx"
"NR_all_80112.1","4RCJ|1|B","4RCJ|1|B"
"NR_all_68765.1","9H83|1|A+9H83|1|B+9H83|1|C+9H83|1|D","9H83|1|A+9H83|1|B+9H83|1|C+9H83|1|D"
"NR_all_25417.1","1BZ2|1|A","1BZ2|1|A"
"NR_all_19502.4","4RGE|1|C","4RGE|1|C,4RGE|1|B,4RGE|1|A,5DUN|1|A,4RGF|1|A,4RGF|1|C,4RGF|1|B"
"NR_all_24636.1","9H91|1|A","9H91|1|A"
"NR_all_99885.2","9H9I|1|3","9H9I|1|3,9H9H|1|3,9H9K|1|3"
"NR_all_25376.3","6PRV|1|A","6PRV|1|A,6PRV|1|B,6PRV|1|C,6PRV|1|D,1HC8|1|C,1HC8|1|D,1Y39|1|D,1Y39|1|C,1QA6|1|C,1QA6|1|D,1C04|1|E"
"NR_all_60492.2","9HBV|1|O","9HBV|1|O,9HBW|1|R"
"NR_all_44047.1","9Q3G|1|B","9Q3G|1|B"
"NR_all_10294.1","9HBW|1|O","9HBW|1|O"
"NR_all_48692.1","9QEG|1|11","9QEG|1|11"
"NR_all_21018.1","9QF4|1|B2","9QF4|1|B2,9QF6|1|B2,9QF5|1|B2"
"NR_all_04874.1","9HBZ|1|H","9HBZ|1|H"
"NR_all_30317.3","4RWN|1|B+4RWN|1|C","4RWN|1|B+4RWN|1|C,4S3N|1|B+4S3N|1|C,4RWP|1|B+4RWP|1|C,4RWO|1|B+4RWO|1|C"
"NR_all_78700.1","9HBZ|1|O","9HBZ|1|O"
"NR_all_60465.1","9QT5|1|1","9QT5|1|1"
"NR_all_63567.5","6XKO|1|A","6XKO|1|A,4RZD|1|A,6XKN|1|A,8TOZ|1|A,8VPV|1|A"
"NR_all_06283.1","9HFL|1|R","9HFL|1|R"
"NR_all_97229.1","9QWN|1|D","9QWN|1|D"
"NR_all_97772.1","9HLX|1|B","9HLX|1|B"
"NR_all_41176.1","9R9O|1|6","9R9O|1|6,9R9P|1|6"
"NR_all_48758.1","9HM0|1|t","9HM0|1|t"
"NR_all_16481.1","9RHU|1|K1","9RHU|1|K1"
"NR_all_48565.1","1C0O|1|A","1C0O|1|A"
"NR_all_80828.3","4TS2|1|Y+4TS2|1|X","4TS2|1|Y+4TS2|1|X,4TS0|1|Y+4TS0|1|X"
"NR_all_71215.1","9HM5|1|D","9HM5|1|D"
"NR_all_57424.1","9RPV|1|B4","9RPV|1|B4"
"NR_all_27117.1","1C2X|1|C","1C2X|1|C"
"NR_all_63520.3","4TU0|1|G","4TU0|1|G,4TU0|1|F"
"NR_all_98959.1","9HN7|1|C","9HN7|1|C"
"NR_all_96704.1","9RVP|1|B","9RVP|1|B"
"NR_all_55702.1","1C9S|1|W","1C9S|1|W"
"NR_all_52096.4","4TUW|1|C","4TUW|1|C,4TUW|1|D,4TV0|1|B,4TUX|1|D,4TUX|1|C"
"NR_all_23250.1","9HQV|1|SH","9HQV|1|SH"
"NR_all_12813.2","1CQL|1|A","1CQL|1|A,1CQ5|1|A"
"NR_all_98560.1","9HQV|1|SQ","9HQV|1|SQ"
"NR_all_53157.1","1CSL|1|B+1CSL|1|A","1CSL|1|B+1CSL|1|A"
"NR_all_79761.1","9HQV|1|TP","9HQV|1|TP"
"NR_all_78670.3","1CVJ|1|N","1CVJ|1|N,1CVJ|1|O,1CVJ|1|S,1CVJ|1|P,1CVJ|1|T,1CVJ|1|R"
"NR_all_44054.1","9HRF|1|A","9HRF|1|A,9HRG|1|D,9HRG|1|B,9HRG|1|C,9HRG|1|A,9HRD|1|A,9HRD|1|C,9HRD|1|B,9HRD|1|D"
"NR_all_56787.1","9SHQ|1|D","9SHQ|1|D"
"NR_all_06087.1","9SPI|1|At","9SPI|1|At,9SPF|1|At"
"NR_all_49592.1","9SPF|1|Mr","9SPF|1|Mr"
"NR_all_87059.1","1CVJ|1|Q","1CVJ|1|Q"
"NR_all_21747.1","4TYY|1|B","4TYY|1|B"
"NR_all_48777.5","4NKU|1|D","4NKU|1|D,4NKU|1|H,8GWB|1|M,9CA4|1|G,1CWP|1|E"
"NR_all_75005.1","4TZ6|1|B","4TZ6|1|B"
"NR_all_19261.1","9SY4|1|A","9SY4|1|A"
"NR_all_45951.1","9HX7|1|B","9HX7|1|B"
"NR_all_03912.1","9T99|1|S","9T99|1|S"
"NR_all_99347.1","9I05|1|RB+9I05|1|RC","9I05|1|RB+9I05|1|RC"
"NR_all_34108.1","9TKV|1|R","9TKV|1|R,9TL1|1|R"
"NR_all_26549.1","1D0T|1|A","1D0T|1|A"
"NR_all_85803.1","9I05|1|RF","9I05|1|RF"
"NR_all_75733.1","9TM6|1|R","9TM6|1|R"
"NR_all_87092.2","1D4R|1|A+1D4R|1|B","1D4R|1|A+1D4R|1|B,1D4R|1|C"
"NR_all_50582.1","9I05|1|RN","9I05|1|RN"
"NR_all_75089.1","1D6K|1|B","1D6K|1|B"
"NR_all_19917.1","9I05|1|RV+9I05|1|RU","9I05|1|RV+9I05|1|RU"
"NR_all_48629.1","9U70|1|A","9U70|1|A"
"NR_all_21736.9","6D30|1|C","6D30|1|C,6J7Z|1|C,3ER9|1|D,4NIA|1|3,4NIA|1|7,4NIA|1|4,5KAL|1|Y,4NIA|1|v,5KAL|1|Z,4NIA|1|u,4NIA|1|6,5NEW|1|C,4NIA|1|x,4NIA|1|1,4NIA|1|8,4NIA|1|5,4NIA|1|w,4NIA|1|t,4OQ9|1|7,4OQ9|1|4,4NIA|1|z,4OQ9|1|8,4OQ9|1|t,4NIA|1|y,4OQ9|1|y,4NIA|1|2,4OQ9|1|x,4OQ9|1|6,4OQ8|1|D,4OQ9|1|w,4OQ9|1|5,4OQ9|1|u,2VRT|1|E,4OQ9|1|z,4OQ9|1|2,4OQ9|1|v,4OQ9|1|3,2VRT|1|F,1DDL|1|E,9FIA|1|bH,4OQ9|1|1"
"NR_all_21193.1","9I0V|1|C","9I0V|1|C,9I0V|1|D"
"NR_all_66802.1","9UKT|1|I","9UKT|1|I"
"NR_all_50426.1","9I14|1|A4","9I14|1|A4"
"NR_all_69491.1","9V1I|1|lA+9V1I|1|lB","9V1I|1|lA+9V1I|1|lB,9V1L|1|lA+9V1L|1|lB,9V25|1|lA+9V25|1|lB,9V21|1|lA+9V21|1|lB,9V24|1|lA+9V24|1|lB,9V26|1|lA+9V26|1|lB"
"NR_all_04974.5","4U3L|1|A+4U3L|1|B","4U3L|1|A+4U3L|1|B,4U3O|1|A+4U3O|1|B,4U3R|1|A+4U3R|1|B,4U78|1|A+4U78|1|B,4U47|1|A+4U47|1|B,4U3P|1|A+4U3P|1|B"
"NR_all_24975.1","9I5T|1|B","9I5T|1|B,9I5V|1|B,9I5X|1|B"
"NR_all_14452.1","9V1I|1|lC","9V1I|1|lC,9V25|1|lC,9V1L|1|lC,9V21|1|lC,9V24|1|lC,9V26|1|lC"
"NR_all_88706.3","4JAH|1|A+4JAH|1|B","4JAH|1|A+4JAH|1|B,4JAH|1|C+4JAH|1|D,4JAH|1|E+4JAH|1|F"
"NR_all_63732.2","9K8Z|1|A+9K8Z|1|B","9K8Z|1|A+9K8Z|1|B,9K7R|1|A+9K7R|1|B,9KKZ|1|A+9KKZ|1|B,9KL1|1|A+9KL1|1|B,4U6K|1|A+4U6K|1|B,4U6K|1|C+4U6K|1|D,4U6M|1|A+4U6M|1|B,4U6L|1|A+4U6L|1|B"
"NR_all_37203.1","9I8Y|1|E+9I8Y|1|C+9I8Y|1|D","9I8Y|1|E+9I8Y|1|C+9I8Y|1|D"
"NR_all_88749.1","9IF0|1|AAA+9IF0|1|BBB","9IF0|1|AAA+9IF0|1|BBB"
"NR_all_03659.2","9V1J|1|sH","9V1J|1|sH,9V21|1|sH,9V1L|1|sH"
"NR_all_40086.3","4JGN|1|E","4JGN|1|E,4JK0|1|B"
"NR_all_43532.1","9IIY|1|B+9IIY|1|C","9IIY|1|B+9IIY|1|C"
"NR_all_54538.1","4JIY|1|A","4JIY|1|A"
"NR_all_26186.3","4JRC|1|B","4JRC|1|B,4JRC|1|A"
"NR_all_39792.3","4U7U|1|L","4U7U|1|L,4U7U|1|X"
"NR_all_71225.4","9IJ3|1|B+9IJ3|1|C","9IJ3|1|B+9IJ3|1|C,9IJ4|1|B+9IJ4|1|C,9IJ5|1|B+9IJ5|1|C,9IJ1|1|B+9IJ1|1|C"
"NR_all_09810.3","4JRD|1|B","4JRD|1|B,4JRD|1|A,5VXQ|1|B,5VXQ|1|A"
"NR_all_15756.3","4U8T|1|T","4U8T|1|T,4U8T|1|P,4U8T|1|Q,4U8T|1|S,4U8T|1|O,4U8T|1|R"
"NR_all_27653.3","9IMB|1|C","9IMB|1|C,9IMB|1|D"
"NR_all_17580.1","4JRT|1|A+4JRT|1|B","4JRT|1|A+4JRT|1|B"
"NR_all_40619.1","9IMM|1|R+9IMM|1|P","9IMM|1|R+9IMM|1|P,9IMK|1|Q+9IMK|1|O,9IMK|1|R+9IMK|1|P"
"NR_all_36308.3","6SAG|1|R","6SAG|1|R,6RLP|1|k,6RLP|1|i,6RLP|1|q,6RLP|1|f,6RLP|1|c,6RLP|1|t,6RLP|1|o,6RLP|1|p,6RLP|1|d,6RLP|1|e,6RLP|1|u,6RLP|1|r,6RLP|1|b,6RLP|1|s,6RLP|1|m,6RLP|1|n,6RLP|1|j,6RLP|1|h,6RLP|1|Z,6RLP|1|g,6RLP|1|a,6RLP|1|l,6RLP|1|R,6RLP|1|v,4UDV|1|R,7Q2R|1|B,7Q2S|1|B,7Q2Q|1|B,7Q23|1|B,7Q22|1|B,6SAE|1|R"
"NR_all_11173.1","4JVH|1|D","4JVH|1|D"
"NR_all_04696.1","9IMM|1|Q","9IMM|1|Q"
"NR_all_40336.1","9IO1|1|A","9IO1|1|A"
"NR_all_89451.1","9V25|1|sI","9V25|1|sI"
"NR_all_51071.1","4JYA|1|Y","4JYA|1|Y"
"NR_all_45695.1","9V44|1|F+9V44|1|E","9V44|1|F+9V44|1|E"
"NR_all_85692.1","9V46|1|F","9V46|1|F"
"NR_all_97616.1","9V48|1|F+9V48|1|E","9V48|1|F+9V48|1|E"
"NR_all_26582.1","4K27|1|U","4K27|1|U"
"NR_all_72717.2","4K4S|1|F+4K4S|1|G","4K4S|1|F+4K4S|1|G,4K4S|1|B+4K4S|1|C,4K4T|1|B+4K4T|1|C,4K4T|1|F+4K4T|1|G"
"NR_all_41744.2","9VCL|1|T+9VCL|1|P","9VCL|1|T+9VCL|1|P,9VCK|1|T+9VCK|1|P"
"NR_all_14136.1","1DFU|1|M+1DFU|1|N","1DFU|1|M+1DFU|1|N"
"NR_all_84044.1","9VHE|1|H","9VHE|1|H"
"NR_all_05015.2","4K4U|1|B+4K4U|1|C","4K4U|1|B+4K4U|1|C,4K4U|1|F+4K4U|1|G"
"NR_all_20759.1","9VX1|1|Z","9VX1|1|Z,9VX1|1|a"
"NR_all_18996.3","1DI2|1|C+1DI2|1|D","1DI2|1|C+1DI2|1|D,1RC7|1|B+1RC7|1|C,1RC7|1|D+1RC7|1|E,1DI2|1|E,1DI2|1|G"
"NR_all_81013.1","4K4U|1|D","4K4U|1|D"
"NR_all_34951.1","9IOS|1|A","9IOS|1|A"
"NR_all_03030.1","9W1L|10|A","9W1L|10|A"
"NR_all_97154.2","4K4V|1|B+4K4V|1|C","4K4V|1|B+4K4V|1|C,4K4V|1|F+4K4V|1|G"
"NR_all_15186.1","9IRF|1|I","9IRF|1|I"
"NR_all_98947.1","9W2K|1|I+9W2K|1|F","9W2K|1|I+9W2K|1|F"
"NR_all_67574.3","5F8N|1|B+5F8N|1|C","5F8N|1|B+5F8N|1|C,4K4W|1|B+4K4W|1|C,6LSE|1|B+6LSE|1|C,5F8M|1|B+5F8M|1|C,4K4W|1|F+4K4W|1|G,5F8L|1|B+5F8L|1|C,6LSF|1|B+6LSF|1|C"
"NR_all_21305.3","7O5B|1|W","7O5B|1|W,4UE4|1|A"
"NR_all_24528.1","9IRI|1|M","9IRI|1|M"
"NR_all_31696.1","9WHV|1|B","9WHV|1|B"
"NR_all_14653.1","1DQF|1|B+1DQF|1|A","1DQF|1|B+1DQF|1|A"
"NR_all_60605.1","4UER|1|A","4UER|1|A"
