#fragment_ID	aligned_regions	alignment_score	P-value
1S72_0:74-79_91-100	2:'0'78-2:'0'78,12:'0'99-12:'0'99	21.4	1
1S72_0:19-24_515-520	2:'0'23-2:'0'23,9:'0'520-9:'0'520	21.4	1
1S72_0:2872-2881_1802-1804_1784-1787	3:'0'2877-5:'0'2879	21.4	1
1S72_0:2796-2798_2767-2774_2799-2803	0:'0'2798-0:'0'2798,10:'0'2776-10:'0'2776	21.4	1
1S72_0:2620-2625_2634-2641_1837-1841	11:'0'2641-11:'0'2641,17:'0'1842-17:'0'1842	21.4	1
1S72_0:1936-1942_1891-1898	6:'0'1944-6:'0'1944,9:'0'1895-9:'0'1895	21.4	1
1S72_0:1811-1817_1756-1763_1775-1782	14:'0'1765-14:'0'1765,16:'0'1778-16:'0'1778	21.4	1
1S72_0:2042-2044_1730-1734_1373-1374	2:'0'2046-2:'0'2046,3:'0'1732-3:'0'1732	21.4	1
1S72_0:1584-1590_1599-1608	2:'0'1588-2:'0'1588,13:'0'1607-13:'0'1607	21.4	1
1S72_0:1487-1488_1653-1658_1529-1533	0:'0'1489-0:'0'1489,3:'0'1656-3:'0'1656	21.4	1
1S72_0:1683-1684_1676-1680_1411-1417	5:'0'1681-5:'0'1681,7:'0'1413-7:'0'1413	21.4	1
1S72_0:1104-1106_1253-1257_1095-1099	6:'0'1258-6:'0'1258,9:'0'1098-9:'0'1098	21.4	1
1S72_0:2268-2272_865-878_2114-2121	0:'0'2270-0:'0'2270,11:'0'873-14:'0'876,26:'0'2123-26:'0'2123	21.4	1
1S72_0:320-324_302-307_337-345	5:'0'304-5:'0'304,19:'0'347-19:'0'347	21.4	1
1S72_0:1469-1477_1463-1467_1863-1864	1:'0'1472-4:'0'1475,11:'0'1467-13:'0'1469	21	1
1S72_0:1311-1316_314-315_1337-1341	1:'0'1314-1:'0'1314,7:'0'317-7:'0'317	21	1
1S72_0:1191-1194_1164-1168_1170-1178	8:'0'1170-8:'0'1170,10:'0'1173-10:'0'1173	21	1
1S72_0:1272-1281	2:'0'1276-4:'0'1278	21	1
1S72_0:342-345_302-307_320-330	7:'0'307-9:'0'309,10:'0'322-11:'0'323	21	1
1S72_0:2557-2558_2795-2800_2770-2775	3:'0'2798-7:'0'2802,8:'0'2772-11:'0'2775	20.6	1
1S72_0:2719-2725_2753-2760_2037-2039	4:'0'2725-4:'0'2725,9:'0'2757-9:'0'2757	20.6	1
1S72_0:2500-2505_2508-2516	5:'0'2507-5:'0'2507,9:'0'2513-9:'0'2513	20.6	1
1S72_0:1857-1868	4:'0'1863-6:'0'1865	20.6	1
1S72_0:2051-2056_1364-1370	0:'0'2053-0:'0'2053,12:'0'1372-12:'0'1372	20.6	1
1S72_0:1081-1086_1095-1097_1067-1074	3:'0'1086-3:'0'1086,13:'0'1073-13:'0'1073	20.6	1
1S72_0:1050-1052_1056-1061_2299-2300	8:'0'1063-8:'0'1063,9:'0'2301-9:'0'2301	20.6	1
1S72_0:1261-1262_559-564_590-595	5:'0'564-5:'0'564,9:'0'593-9:'0'593	20.6	1
1S72_0:590-595_558-563	0:'0'592-0:'0'592,11:'0'565-11:'0'565	20.6	1
1S72_0:2810-2812_528-531_9-11	4:'0'531-4:'0'531,7:'0'11-7:'0'11	20.6	1
1S72_0:187-193_231-233_197-204	9:'0'235-9:'0'235,15:'0'204-15:'0'204	20.6	1
1S72_0:2729-2731_1813-1816_1806-1812	8:'0'1809-10:'0'1811	20.6	1
1S72_0:935-938_717-721_703-707	5:'0'720-5:'0'720,12:'0'708-12:'0'708	20.6	1
1S72_0:340-343_328-339_303-306	14:'0'340-14:'0'340,17:'0'306-17:'0'306	20.6	1
1S72_0:424-427_197-203_187-193	8:'0'203-8:'0'203,14:'0'192-14:'0'192	20.6	1
1S72_0:2407-2416	3:'0'2412-5:'0'2414	20.6	1
1S72_0:2240-2258	7:'0'2249-10:'0'2252	20.6	1
1S72_0:1811-1818_1775-1782_1756-1758	6:'0'1819-6:'0'1819,10:'0'1779-10:'0'1779	20.6	1
1S72_0:821-825_1704-1710_786-789	1:'0'824-1:'0'824,14:'0'790-14:'0'790	20.6	1
1S72_0:1540-1544_1791-1797_1637-1641	1:'0'1543-1:'0'1543,15:'0'1642-15:'0'1642	20.6	1
1S72_0:565-570_583-589	1:'0'568-1:'0'568,11:'0'590-11:'0'590	20.6	1
1S72_0:27-31_446-453_1347-1351	7:'0'450-7:'0'450,16:'0'1352-16:'0'1352	20.6	1
1S72_0:145-146_109-113_41-48	3:'0'112-3:'0'112,13:'0'49-13:'0'49	20.6	1
1S72_0:1784-1785_2869-2873_2880-2885	5:'0'2874-5:'0'2874,8:'0'2883-8:'0'2883	19.8	1
1S72_0:2753-2760_2719-2725_2037-2039	0:'0'2755-0:'0'2755,14:'0'2727-14:'0'2727	19.8	1
1S72_0:2698-2703_2687-2693	1:'0'2701-1:'0'2701,11:'0'2694-11:'0'2694	19.8	1
1S72_0:2508-2516_2500-2505	6:'0'2516-6:'0'2516,11:'0'2504-11:'0'2504	19.8	1
1S72_0:908-912_1290-1293_1068-1069	1:'0'911-1:'0'911,7:'0'1294-7:'0'1294	19.8	1
1S72_0:789-794_814-821	4:'0'795-4:'0'795,8:'0'818-8:'0'818	19.8	1
1S72_0:743-748_683-684_654-660	7:'0'686-7:'0'686,12:'0'660-12:'0'660	19.8	1
1S72_0:287-292_355-361	3:'0'292-3:'0'292,9:'0'360-9:'0'360	19.8	1
1S72_0:680-681_223-229_207-213	2:'0'225-2:'0'225,15:'0'215-15:'0'215	19.8	1
1S72_0:159-163_165-172_2465-2467	6:'0'168-6:'0'168,15:'0'2469-15:'0'2469	19.8	1
1S72_0:890-893_156-161_170-177	5:'0'159-5:'0'159,15:'0'177-15:'0'177	19.8	1
1S72_0:635-637_516-522_18-23	3:'0'518-3:'0'518,15:'0'25-15:'0'25	19.8	1
1S72_0:635-637_18-23_516-522	7:'0'24-7:'0'24,10:'0'519-10:'0'519	19.8	1
1S72_0:2849-2854_2899-2904_2831-2833	0:'0'2851-0:'0'2851,11:'0'2906-11:'0'2906	19.8	1
1S72_0:2906-2912_2824-2830_2665-2666	5:'0'2913-5:'0'2913,8:'0'2827-8:'0'2827	19.8	1
1S72_0:2824-2830_2906-2912_2665-2666	0:'0'2826-0:'0'2826,13:'0'2914-13:'0'2914	19.8	1
1S72_0:2501-2505_2508-2515_2560-2562	0:'0'2503-0:'0'2503,12:'0'2517-12:'0'2517	19.8	1
1S72_0:2620-2621_832-834_2639-2642	3:'0'835-3:'0'835,8:'0'2644-8:'0'2644	19.8	1
1S72_0:279-286_363-366_267-272	0:'0'281-0:'0'281,11:'0'368-11:'0'368	19.8	1
1S72_0:2131-2134_2237-2243_2254-2258	0:'0'2133-1:'0'2134,8:'0'2243-9:'0'2244,12:'0'2257-15:'0'2260	19.7	1
1S72_0:2124-2126_1901-1907_1927-1932	3:'0'1903-3:'0'1903,15:'0'1934-15:'0'1934	19.4	1
1S72_0:2014-2017_1883-1884_1767-1773	1:'0'2017-1:'0'2017,4:'0'1885-4:'0'1885	19.4	1
1S72_0:951-956_1008-1010_1003-1007	4:'0'957-4:'0'957,6:'0'1010-6:'0'1010	19.4	1
1S72_0:2784-2791_2776-2783_1150-1152	4:'0'2790-4:'0'2790,10:'0'2780-10:'0'2780	19.4	1
1S72_0:2557-2558_2773-2781_2787-2797	8:'0'2781-8:'0'2781,15:'0'2793-15:'0'2793	19.4	1
1S72_0:2578-2581_2593-2596_2598-2600	7:'0'2598-7:'0'2598,8:'0'2600-8:'0'2600	19.4	1
1S72_0:2102-2106_2476-2480_2482-2484	9:'0'2482-9:'0'2482,11:'0'2485-11:'0'2485	19	1
1S72_0:686-689_691-696_729-731	3:'0'691-3:'0'691,4:'0'693-4:'0'693	19	1
1S72_0:631-633_618-620_1354-1355	4:'0'621-4:'0'621,6:'0'1356-6:'0'1356	19	1
1S72_0:432-433_423-424_188-202	10:'0'196-12:'0'198	19	1
1S72_0:1686-1692_878-882_865-868	7:'0'880-7:'0'880,12:'0'867-12:'0'867	19	1
1S72_0:206-208_678-684_659-664	3:'0'680-3:'0'680,15:'0'666-15:'0'666	19	1
1S72_0:505-511_499-504_479-489	9:'0'503-9:'0'503,21:'0'489-21:'0'489	19	1
1S72_0:2553-2555_2575-2578_2677-2682	4:'0'2578-4:'0'2578,12:'0'2684-12:'0'2684	19	1
1S72_0:925-926_2392-2397_2387-2389	1:'0'928-1:'0'928,3:'0'2395-3:'0'2395	19	1
1S72_0:2304-2308_2296-2299_2277-2290	0:'0'2306-1:'0'2307,7:'0'2300-8:'0'2301	19	1
1S72_0:671-678_229-230_663-670	8:'0'231-8:'0'231,10:'0'665-10:'0'665	19	1
1S72_0:374-375_259-267_240-247	10:'0'269-10:'0'269,11:'0'242-11:'0'242	19	1
1S72_0:206-208_659-664_678-684	2:'0'210-2:'0'210,6:'0'664-7:'0'665,9:'0'680-12:'0'683	18.7	1
1S72_0:2535-2536_1356-1358_2098-2099	3:'0'1359-3:'0'1359,6:'0'2101-6:'0'2101	18.6	1
1S72_0:1832-1839_874-883_776-777	2:'0'1836-2:'0'1836,12:'0'880-15:'0'883,18:'0'778-18:'0'778	18.4	1
1S72_0:2877-2882_1785-1787_2871-2875	6:'0'1787-6:'0'1787,11:'0'2875-11:'0'2875	18.2	1
1S72_0:2859-2865_2887-2893	4:'0'2865-4:'0'2865,9:'0'2891-9:'0'2891	18.2	1
1S72_0:1701-1714	4:'0'1707-8:'0'1711	18.2	1
1S72_0:2417-2419_2316-2321	1:'0'2420-1:'0'2420,6:'0'2321-6:'0'2321	18.2	1
1S72_0:507-513_479-488_500-503	8:'0'482-10:'0'484	18.2	1
1S72_0:2479-2488_2531-2534_2529-2530	3:'0'2484-3:'0'2484,13:'0'2536-13:'0'2536	18.2	1
1S72_0:166-169_215-218_219-221	5:'0'218-5:'0'218,9:'0'222-9:'0'222	18.2	1
1S72_0:2767-2772_2797-2803	7:'0'2800-8:'0'2801	18.2	1
1S72_0:2124-2126_1906-1911_1924-1929	3:'0'1908-3:'0'1908,14:'0'1931-14:'0'1931	18.2	1
1S72_0:1586-1592_1598-1604	1:'0'1589-1:'0'1589,13:'0'1606-13:'0'1606	18.2	1
1S72_0:903-905_1322-1326_1327-1332	6:'0'1327-6:'0'1327,8:'0'1329-8:'0'1329	18.2	1
1S72_0:486-501	6:'0'494-10:'0'498	18.2	1
1S72_0:771-773_465-468_469-472	5:'0'469-5:'0'469,8:'0'472-8:'0'472	18.2	1
1S72_0:360-365_281-288	5:'0'367-5:'0'367,8:'0'285-8:'0'285	18.2	1
1S72_0:766-769_889-893_158-175	14:'0'165-16:'0'167	18.2	1
1S72_0:1445-1450_1674-1675_1501-1505	0:'0'1447-4:'0'1451,6:'0'1676-7:'0'1677,8:'0'1503-8:'0'1503	17.9	1
1S72_0:2418-2419_2316-2321_2376-2378	7:'0'2323-7:'0'2323,10:'0'2380-10:'0'2380	17.4	1
1S72_0:2129-2132_2256-2261_2239-2243	2:'0'2133-2:'0'2133,5:'0'2259-5:'0'2259	17.4	1
1S72_0:1024-1025_933-938_1029-1034	5:'0'938-5:'0'938,9:'0'1032-9:'0'1032	17.4	1
1S72_0:2671-2673_2809-2815_2659-2660	1:'0'2674-1:'0'2674,3:'0'2811-3:'0'2811	17.4	1
1S72_0:2521-2525_2549-2551_1229-1235	1:'0'2524-1:'0'2524,7:'0'2553-7:'0'2553	17.4	1
1S72_0:1597-1604_1588-1593	6:'0'1605-6:'0'1605,8:'0'1590-8:'0'1590	17.4	1
1S72_0:1210-1214_1145-1153	2:'0'1214-2:'0'1214,10:'0'1152-10:'0'1152	17.4	1
1S72_0:1269-1272_1027-1032_934-938	6:'0'1031-6:'0'1031,13:'0'939-13:'0'939	17.4	1
1S72_0:1380-1385_1429-1431_1390-1398	5:'0'1387-5:'0'1387,6:'0'1431-8:'0'1433,9:'0'1392-12:'0'1395	17.3	1
1S72_0:2106-2111_2471-2477_765-766	4:'0'2112-4:'0'2112,8:'0'2475-8:'0'2475	17	1
1S72_0:271-272_266-269_238-242	2:'0'268-2:'0'268,9:'0'243-9:'0'243	17	1
1S72_0:159-160_890-898_762-767	1:'0'162-1:'0'162,3:'0'893-3:'0'893	17	1
1S72_0:1716-1719_1378-1380_1398-1402	4:'0'1380-6:'0'1382,7:'0'1400-8:'0'1401	17	1
1S72_0:1706-1714_1701-1705_788-789	4:'0'1712-4:'0'1712,12:'0'1706-12:'0'1706	16.6	1
1S72_0:314-315_1311-1316_1337-1341	5:'0'1316-5:'0'1316,10:'0'1341-10:'0'1341	16.6	1
1S72_0:1197-1204_1191-1196_1170-1174	3:'0'1202-3:'0'1202,12:'0'1197-12:'0'1197	16.6	1
1S72_0:663-665_225-230_206-210	3:'0'227-3:'0'227,13:'0'212-13:'0'212	16.6	1
1S72_0:2465-2467_159-163_165-172	3:'0'161-3:'0'161,15:'0'174-15:'0'174	16.6	1
1S72_0:303-306_340-343_328-339	7:'0'345-7:'0'345,9:'0'331-9:'0'331	16.6	1
1S72_0:1643-1644_1608-1612_1577-1584	6:'0'1614-6:'0'1614,8:'0'1580-8:'0'1580	16.6	1
1S72_0:2620-2621_2639-2642_832-834	0:'0'2622-0:'0'2622,4:'0'2643-4:'0'2643	16.6	1
1S72_0:255-263_244-250	7:'0'264-7:'0'264,10:'0'247-10:'0'247	16.6	1
1S72_0:828-833_846-849	0:'0'830-3:'0'833,7:'0'849-9:'0'851	16.4	1
1S72_0:2764-2768_2802-2803_2711-2713	3:'0'2769-3:'0'2769,6:'0'2805-6:'0'2805	15.8	1
1S72_0:2121-2126_2264-2270_2114-2117	11:'0'2271-11:'0'2271,15:'0'2118-15:'0'2118	15.8	1
1S72_0:2016-2021_1825-1830_1842-1845	9:'0'1830-9:'0'1830,14:'0'1846-14:'0'1846	15.8	1
1S72_0:1629-1631_1622-1627_1566-1569	5:'0'1626-5:'0'1626,12:'0'1571-12:'0'1571	15.8	1
1S72_0:2053-2056_1363-1369	1:'0'2056-1:'0'2056,7:'0'1368-7:'0'1368	15.8	1
1S72_0:663-664_225-229_206-212	3:'0'228-3:'0'228,10:'0'211-10:'0'211	15.8	1
1S72_0:95-102_72-80	0:'0'97-0:'0'97,14:'0'80-14:'0'80	15.8	1
1S72_0:2758-2764_2713-2720	3:'0'2763-3:'0'2763,11:'0'2719-11:'0'2719	15.8	1
1S72_0:2701-2706_2685-2691	1:'0'2704-1:'0'2704,9:'0'2690-9:'0'2690	15.8	1
1S72_0:2672-2680_2804-2808	1:'0'2675-1:'0'2675,13:'0'2810-13:'0'2810	15.8	1
1S72_0:1145-1153_1210-1214	4:'0'1151-4:'0'1151,12:'0'1215-12:'0'1215	15.8	1
1S72_0:2114-2121_2268-2272_865-878	12:'0'2274-12:'0'2274,15:'0'869-15:'0'869	15.8	1
1S72_0:1653-1655_1532-1535_853-856	6:'0'1537-6:'0'1537,7:'0'855-7:'0'855	15.8	1
1S72_0:335-337_1311-1312_307-320	10:'0'314-12:'0'316	15.8	1
1S72_0:77-83_89-97_59-60	0:'0'79-0:'0'79,14:'0'98-14:'0'98	15.8	1
1S72_0:839-843_844-846_832-836	2:'0'843-4:'0'845,5:'0'846-6:'0'847,10:'0'836-12:'0'838	15.7	1
1S72_0:1040-1043_911-914_1067-1070	5:'0'914-5:'0'914,9:'0'1070-9:'0'1070	15.4	1
1S72_0:622-628_2065-2068_2069-2077	10:'0'2070-10:'0'2070,14:'0'2074-14:'0'2074	15	1
1S72_0:145-147_41-46_110-113	7:'0'47-7:'0'47,10:'0'113-10:'0'113	14.2	1
1S72_0:475-478_450-463_26-27	8:'0'456-12:'0'460	14.2	1
1S72_0:506-510_480-488_500-505	6:'0'483-6:'0'483,19:'0'507-19:'0'507	13.8	1
1S72_0:2069-2077_622-628_2065-2068	3:'0'2074-6:'0'2077,10:'0'625-12:'0'627,17:'0'2068-18:'0'2069	13.7	1
1S72_0:2636-2639_2003-2006_1972-1981	0:'0'2638-0:'0'2638,15:'0'1981-15:'0'1981	13.4	1
1S72_0:2078-2081_2061-2064_1232-1239	7:'0'2066-7:'0'2066,8:'0'1234-8:'0'1234	13.4	1
1S72_0:1349-1355_640-641_619-632	4:'0'1355-4:'0'1355,8:'0'643-8:'0'643	13.4	1
1S72_0:54-60_82-84_85-87	1:'0'57-5:'0'61,8:'0'85-9:'0'86,11:'0'88-12:'0'89	12.8	1
1S72_0:2614-2616_2098-2101_2535-2539	6:'0'2103-6:'0'2103,8:'0'2538-8:'0'2538	12.6	1
1S72_0:145-149_111-113_39-46	2:'0'149-4:'0'151,8:'0'41-9:'0'42	12.6	1
1S72_0:438-439_440-441_37-39	0:'0'440-1:'0'441,2:'0'442-3:'0'443,4:'0'39-6:'0'41	12.4	1
1S72_0:2088-2090_2091-2093_2647-2652	0:'0'2090-2:'0'2092,3:'0'2093-3:'0'2093,6:'0'2649-11:'0'2654	11.8	1
1S72_0:2518-2523_2524-2525_2491-2499	5:'0'2525-5:'0'2525,7:'0'2527-7:'0'2527,8:'0'2493-10:'0'2495	11.4	1
1S72_0:1353-1361_899-900_637-641	2:'0'1357-2:'0'1357,14:'0'642-14:'0'642	11	1
1S72_0:2621-2622_1837-1843_1829-1833	8:'0'1845-8:'0'1845,9:'0'1831-9:'0'1831	11	1
1S72_0:1588-1593_1597-1604	5:'0'1595-5:'0'1595,6:'0'1599-6:'0'1599	11	1
1S72_0:1115-1120_1233-1242_2072-2078	4:'0'1121-5:'0'1122,6:'0'1235-14:'0'1243	9.9	1
1S72_0:1680-1688_1689-1693_840-841	3:'0'1685-5:'0'1687,12:'0'1694-13:'0'1695	9.8	1
1S72_0:1672-1674_1488-1489_1446-1453	4:'0'1491-4:'0'1491,11:'0'1454-11:'0'1454	9.4	1
1S72_0:2773-2775_2570-2576_2555-2560	7:'0'2576-7:'0'2576,10:'0'2557-10:'0'2557	9.4	1
1S72_0:1399-1400_1719-1722_1374-1380	4:'0'1723-4:'0'1723,6:'0'1376-6:'0'1376	9.4	1
1S72_0:1233-1242_1115-1120_2072-2078	4:'0'1239-4:'0'1239,22:'0'2080-22:'0'2080	9.4	1
1S72_0:618-621_628-633_2604-2607	4:'0'631-4:'0'631,11:'0'2607-11:'0'2607	9.4	1
1S72_0:2440-2442_414-415_388-397	7:'0'392-10:'0'395	9	1
1S72_0:1500-1504_1442-1446_1416-1418	3:'0'1505-4:'0'1506,8:'0'1447-8:'0'1447	8.8	1
1S72_0:111-113_39-46_145-149	1:'0'114-1:'0'114,10:'0'48-10:'0'48	8.6	1
1S72_0:665-677	4:'0'671-8:'0'675	8.6	1
1S72_0:2457-2460_2424-2431_2314-2315	4:'0'2426-4:'0'2426,12:'0'2316-12:'0'2316	7.8	1
1S72_0:182-184_39-43_145-151	6:'0'44-6:'0'44,8:'0'147-8:'0'147	7.8	1
1S72_0:1974-1987_2636-2639_1998-2006	0:'0'1976-0:'0'1976,22:'0'2004-22:'0'2004	7.8	1
1S72_0:894-900_757-764_2476-2478	13:'0'765-13:'0'765,17:'0'2480-17:'0'2480	7	1
1S72_0:2748-2751_1809-1816_2728-2731	7:'0'1814-8:'0'1815,15:'0'2733-15:'0'2733	7	1
1S72_0:1098-1103_1104-1108_1252-1255	5:'0'1105-5:'0'1105,6:'0'1106-7:'0'1107,13:'0'1256-14:'0'1257	7	1
1S72_0:1037-1043_911-916_924-929	1:'0'1040-3:'0'1042,9:'0'915-9:'0'915,15:'0'928-17:'0'930	7	1
1S72_0:434-436_227-232_203-208	8:'0'234-8:'0'234,9:'0'205-9:'0'205	7	1
1S72_0:2624-2628_2629-2636_2113-2114	4:'0'2630-4:'0'2630,6:'0'2632-6:'0'2632	6.2	1
1S72_0:1430-1433_1385-1393	6:'0'1389-8:'0'1391	6.2	1
1S72_0:1750-1754_1739-1745_2029-2036	9:'0'1745-9:'0'1745,15:'0'2034-15:'0'2034	6.2	1
1S72_0:2100-2108_916-924_2476-2479	5:'0'2107-5:'0'2107,14:'0'923-14:'0'923,20:'0'2480-20:'0'2480	6.2	1
1S72_0:2604-2616_2538-2545	5:'0'2611-5:'0'2611,14:'0'2541-14:'0'2541	6.2	1
1S72_0:1108-1110_573-576_577-581	5:'0'577-5:'0'577,7:'0'579-7:'0'579	6.2	1
1S72_0:2521-2525_1229-1235_2491-2496	0:'0'2523-0:'0'2523,5:'0'1231-5:'0'1231,17:'0'2498-17:'0'2498	5.4	1
1S72_0:2651-2656_2837-2840_2086-2089	4:'0'2657-4:'0'2657,9:'0'2842-9:'0'2842	4.6	1
1S72_0:232-235_431-434_188-192	2:'0'236-2:'0'236,5:'0'434-5:'0'434,9:'0'191-9:'0'191	4.6	1
1S72_0:437-440_148-152_180-185	4:'0'150-4:'0'150,12:'0'185-12:'0'185	4.6	1
1S72_0:773-782_861-866_1457-1458	11:'0'864-11:'0'864,17:'0'1460-17:'0'1460	4.2	1
1S72_0:1686-1692_1424-1430_1434-1437	7:'0'1426-9:'0'1428,15:'0'1437-17:'0'1439	4.1	1
1S72_0:1115-1120_2072-2078_1233-1242		4	1
1S72_0:2457-2460_2314-2315_2424-2431		3.8	1
1S72_0:2314-2315_2457-2460_2424-2431		3.8	1
1S72_0:191-193_424-428_405-413	5:'0'428-6:'0'429,8:'0'407-8:'0'407	3.8	1
1S72_0:2457-2460_2314-2315_2424-2431		3.8	1
1S72_0:2314-2315_2457-2460_2424-2431		3.8	1
1S72_0:2721-2723_1737-1742_2031-2039		3.8	1
1S72_0:935-936_700-705_718-724	6:'0'706-6:'0'706,10:'0'722-10:'0'722	3.8	1
1S72_0:437-440_180-185_148-152		3.8	1
1S72_0:180-185_437-440_148-152		3.8	1
1S72_0:180-185_148-152_437-440		3.8	1
1S72_0:1128-1131_2518-2523_2491-2499		3.7	1
1S72_0:2518-2523_1128-1131_2491-2499		3.7	1
1S72_0:2524-2525_2518-2523_2491-2499		3.7	1
1S72_0:1750-1758_1816-1818_2027-2030		3.7	1
1S72_0:1079-1080_1043-1048_1063-1067		3.7	1
1S72_0:1104-1108_1098-1103_1252-1255		3.7	1
1S72_0:1739-1740_2029-2032_1743-1754		3.7	1
1S72_0:2072-2078_1233-1242_1115-1120		3.7	1
1S72_0:1457-1458_773-782_861-866	4:'0'777-5:'0'778	3.6	1
1S72_0:894-900_2476-2478_757-764	4:'0'900-4:'0'900,15:'0'764-15:'0'764	3.6	1
1S72_0:432-435_188-192_231-235		3.6	1
1S72_0:142-145_42-43_123-133		3.6	1
1S72_0:1402-1407_1699-1701_1713-1717		3.6	1
1S72_0:139-145_113-114_123-133		3.6	1
1S72_0:82-84_85-87_54-60		3.6	1
1S72_0:82-87_54-57_58-60		3.6	1
1S72_0:1867-1876_1851-1858		3.6	1
1S72_0:61-72_51-54_102-105		3.6	1
1S72_0:2491-2499_2518-2523_1128-1131		3.5	1
1S72_0:2475-2478_761-766_891-899		3.5	1
